iter	RMSE
0	1480.541828
1	1407.547713
2	1339.683544
3	1282.573507
4	1232.470982
5	1189.662665
6	1148.74412
7	1112.849888
8	1080.36865
9	1053.751054
10	1026.762644
11	1002.77343
12	981.1207591
13	963.9392827
14	949.6261565
15	936.1621139
16	923.504564
17	913.9271627
18	903.3468207
19	899.5701107
20	893.737936
21	889.0318138
22	881.9570439
23	873.5850893
24	868.1808538
25	864.6590319
26	860.8121441
27	856.5978688
28	855.2721071
29	852.3733754
30	849.4233118
31	847.20938
32	845.6238439
33	842.6828441
34	840.1687943
35	837.2719744
36	836.7308763
37	833.5329547
38	831.6009355
39	828.7125087
40	826.2127978
41	823.7888832
42	823.0331276
43	821.3666808
44	820.0734836
45	817.3942717
46	815.976936
47	813.8316869
48	813.6769578
49	813.4690827
50	811.9851682
51	810.0543795
52	808.4847089
53	807.4924905
54	805.6286076
55	803.3102879
56	802.0642782
57	800.5835763
58	799.4207013
59	798.4653395
60	797.9315762
61	796.5217247
62	793.8761628
63	792.9983583
64	792.2434076
65	792.1925956
66	790.8961394
67	790.6097386
68	789.7929204
69	789.6011008
70	788.9373481
71	787.9306343
72	787.1380775
73	784.4304682
74	781.9653548
75	781.847211
76	780.6944885
77	779.7470473
78	778.5138791
79	777.547079
80	776.6654265
81	775.6874036
82	773.9540884
83	773.3759809
84	772.6359512
85	771.3317764
86	770.2761664
87	769.6541387
88	767.1659095
89	765.7588595
90	764.5193554
91	764.1085286
92	762.7311708
93	761.6609478
94	760.6681944
95	760.5020461
96	760.4686915
97	758.709734
98	758.1419251
99	757.1504627
100	756.1049198
101	755.5224594
102	753.266442
103	750.9347883
104	749.3026793
105	748.7806972
106	746.6793811
107	745.7283641
108	744.3298227
109	743.4231027
110	742.3616919
111	742.3440628
112	741.4220663
113	740.1743359
114	739.2261753
115	737.9826216
116	737.0142788
117	736.230855
118	733.1642571
119	732.6737157
120	731.5284523
121	730.0740003
122	728.9630624
123	728.5621624
124	727.0592002
125	726.6744851
126	724.072777
127	723.1132806
128	722.2215552
129	720.3434673
130	719.1948978
131	717.7510909
132	716.949083
133	716.4069806
134	715.1092801
135	713.7232817
136	712.3824614
137	711.0903851
138	709.7424694
139	707.1591032
140	706.645786
141	705.9055008
142	705.3862141
143	704.8500351
144	704.1984001
145	701.8919697
146	700.2946901
147	699.6369437
148	697.5570893
149	697.2375119
150	696.231477
151	694.3390749
152	692.444252
153	691.6846413
154	691.1891123
155	690.3623694
156	690.161197
157	688.6006011
158	687.6406778
159	686.4725521
160	686.4661381
161	685.032634
162	683.3861892
163	682.3683479
164	681.769996
165	681.1607725
166	681.064691
167	680.8492343
168	679.5917378
169	678.2119751
170	676.1556843
171	674.6886361
172	674.1833446
173	673.696837
174	673.0744646
175	672.576876
176	672.4682955
177	671.7703752
178	671.6164355
179	670.4351504
180	669.8252472
181	669.4750589
182	669.0885298
183	668.4886739
184	667.191844
185	666.1493296
186	665.4805365
187	664.8114775
188	664.2602596
189	663.853775
190	663.0232303
191	662.397237
192	661.6260052
193	660.7714686
194	659.6776099
195	658.9714643
196	657.4896772
197	656.8226018
198	655.8968773
199	655.076709
200	654.8219192
201	653.9772065
202	652.8072083
203	651.8782161
204	650.6779781
205	650.3534352
206	650.0961743
207	649.5848065
208	648.6089192
209	648.3051399
210	647.210661
211	645.9821053
212	644.6390833
213	643.7866801
214	643.5251097
215	642.4842635
216	640.5513227
217	638.8953716
218	638.1868352
219	637.4647604
220	636.7964993
221	636.2030949
222	636.1106298
223	635.2193274
224	634.0759091
225	633.2621946
226	632.6356903
227	632.170115
228	631.2143473
229	630.2425767
230	629.224438
231	628.5348268
232	627.9558823
233	626.8989562
234	625.9442824
235	625.7703902
236	624.8201344
237	624.3426222
238	624.0142735
239	622.7948992
240	621.7101242
241	621.2227691
242	620.0059032
243	619.6053243
244	618.4451414
245	618.3051194
246	617.350396
247	616.3562781
248	616.1280247
249	615.5167826
250	614.6790348
251	614.4441002
252	614.051283
253	613.6379684
254	613.0953283
255	612.5693231
256	611.4209528
257	610.0733542
258	609.8773723
259	609.4921913
260	609.3280669
261	608.5078363
262	607.8835228
263	607.4568771
264	607.1255185
265	606.6794878
266	606.4091685
267	605.7325203
268	605.2521932
269	605.0057188
270	604.8182887
271	604.0316208
272	603.7747493
273	603.6216424
274	603.0949723
275	602.42175
276	601.5924687
277	600.4965314
278	600.3150403
279	599.4218665
280	599.0364697
281	598.8942053
282	598.3559629
283	598.0590882
284	597.0340598
285	596.1256268
286	595.3610482
287	595.273223
288	594.3180862
289	593.9172098
290	593.596181
291	592.7241782
292	592.3862176
293	591.9865777
294	591.3631849
295	590.4144039
296	589.9025199
297	589.6239816
298	589.2735956
299	588.9575732
300	588.2245075
301	587.7189718
302	587.4042379
303	587.018935
304	586.783583
305	586.5895318
306	586.4062306
307	585.5101244
308	585.4983863
309	584.8778277
310	584.6085326
311	584.4005903
312	583.844115
313	583.0926429
314	582.4305617
315	581.8291428
316	581.2612725
317	580.5815691
318	580.3902845
319	579.6687641
320	578.6095052
321	578.5238877
322	578.2705453
323	577.8056441
324	577.3853277
325	576.9042849
326	576.5880003
327	575.895978
328	574.8698526
329	574.3184304
330	573.952123
331	572.3204792
332	572.1149486
333	572.0350288
334	571.4682917
335	570.7072455
336	570.4174226
337	569.9051406
338	569.7347265
339	569.206039
340	568.7504879
341	568.2517637
342	567.834849
343	567.2465726
344	566.6023435
345	566.4680122
346	566.168338
347	565.9050166
348	565.6878835
349	564.9783451
350	564.4344473
351	563.6113507
352	563.2574004
353	562.4803513
354	562.1549743
355	561.2812294
356	560.5436733
357	559.9904392
358	559.8166705
359	559.1979578
360	558.5084396
361	558.3898475
362	557.9864009
363	557.5447967
364	556.6344884
365	555.971721
366	555.6515635
367	555.4480361
368	555.353879
369	555.0282683
370	554.3075996
371	553.8315699
372	553.1703971
373	552.6471457
374	552.3448445
375	552.1086594
376	551.9520676
377	551.6171784
378	550.8404085
379	550.5645271
380	550.1281922
381	549.1253206
382	549.055699
383	548.4822232
384	547.7585602
385	547.1532315
386	546.5090658
387	546.4968274
388	545.9675425
389	545.5100739
390	544.9365092
391	543.9107631
392	542.6258168
393	542.1158615
394	541.8240092
395	541.401296
396	540.8939625
397	540.5523855
398	539.8793164
399	539.3524369
400	538.9884791
401	538.7195906
402	538.4696858
403	538.1749705
404	537.3252082
405	537.124334
406	536.6714595
407	535.823643
408	535.4418093
409	535.034065
410	534.7321239
411	534.3738516
412	534.0391187
413	533.3944174
414	532.6836605
415	532.3941622
416	532.0789925
417	531.1550305
418	530.9526878
419	530.5981716
420	530.3900732
421	530.0302485
422	529.6664326
423	529.4760047
424	529.2287772
425	529.0394531
426	528.7811881
427	528.540684
428	527.7924435
429	527.1555268
430	526.7176236
431	526.5539566
432	526.3788585
433	526.1464864
434	525.9652109
435	525.7714123
436	525.2444796
437	524.7730387
438	524.5419536
439	524.2547938
440	523.6861713
441	523.0799956
442	522.7594047
443	522.3941449
444	522.1649533
445	521.8379055
446	521.6578052
447	521.4433721
448	521.3109119
449	521.2892123
450	520.5210026
451	520.4204133
452	519.7211854
453	519.543226
454	519.3619227
455	518.8478432
456	518.8114555
457	518.7706302
458	518.3445372
459	517.7667991
460	517.3173651
461	516.4719073
462	516.2530863
463	516.1481513
464	515.8829854
465	515.4369579
466	515.1685969
467	514.5985869
468	514.2759482
469	513.841727
470	513.6140164
471	513.0670853
472	512.7551166
473	512.5285032
474	511.9484044
475	511.7642588
476	511.1744081
477	510.7779132
478	510.4985658
479	510.1846542
480	509.6138815
481	509.229826
482	509.0047828
483	508.6871182
484	508.3642523
485	508.0345059
486	507.8072782
487	507.3790941
488	507.0857513
489	506.504231
490	506.1204401
491	505.8839957
492	505.7593434
493	505.0410757
494	504.8646457
495	504.7675448
496	504.3640991
497	504.0663852
498	503.3517475
499	502.9997466
500	502.6368881
501	502.3694195
502	501.9382258
503	501.8391365
504	501.7093301
505	501.3821755
506	501.1267426
507	500.8176321
508	500.4260777
509	499.6515859
510	499.4473955
511	499.0927214
512	498.7602651
513	498.5370913
514	498.2061243
515	497.8144979
516	497.6073078
517	497.4487324
518	497.3255963
519	497.0807935
520	496.6656674
521	496.1091687
522	495.7914567
523	495.5127302
524	495.1866354
525	494.3005121
526	494.1237168
527	493.8028841
528	493.4797958
529	493.3724545
530	493.1087106
531	492.6377594
532	492.4873322
533	492.1660002
534	492.0444783
535	491.5294142
536	491.3824497
537	491.1511062
538	491.0019728
539	490.8436292
540	490.4384111
541	490.3379945
542	490.1882931
543	489.9044386
544	489.5462433
545	488.8976603
546	488.7055377
547	488.3668683
548	488.1626582
549	487.8878666
550	487.2103361
551	486.8557015
552	486.508728
553	486.2220613
554	485.8649688
555	485.5313226
556	485.4069146
557	485.1174338
558	484.9425589
559	484.210912
560	484.042755
561	483.5555844
562	483.4148244
563	483.1441896
564	483.0767076
565	481.8587323
566	481.6958785
567	481.5042888
568	481.3671642
569	481.2355943
570	481.1522205
571	481.0927326
572	480.4599964
573	480.1959171
574	479.9123845
575	479.8646289
576	479.3186434
577	479.0096093
578	478.7101137
579	478.5683555
580	478.2530594
581	478.0883277
582	477.8511657
583	477.5387319
584	477.1262605
585	477.050706
586	476.9709245
587	476.715363
588	475.9873271
589	475.9774733
590	475.6749383
591	475.6259141
592	475.1470775
593	474.8594445
594	474.5964867
595	474.3839978
596	474.1578788
597	474.0399799
598	473.9553734
599	473.3703266
600	472.8546006
601	472.5980428
602	472.421354
603	472.1350275
604	471.8690115
605	471.2802926
606	470.9364535
607	470.4523569
608	470.3602077
